date,flight_id,crew_id,role,duty_hours,status
2025-09-07,6E8723,PIL0023,Captain,2.6068850916478876,COMPLETED
2025-09-07,6E8723,PIL0032,First Officer,2.518162712852331,COMPLETED
2025-09-07,6E8723,CAB0074,Crew Member,2.9394049896944523,COMPLETED
2025-09-07,6E8723,CAB0089,Crew Member,3.1129395824945254,COMPLETED
2025-09-07,6E8723,CAB0069,Trainee,3.4430758377447077,COMPLETED
2025-09-07,6E8723,CAB0099,Senior Crew,2.740692711832505,COMPLETED
2025-09-07,I5922,PIL0022,Captain,3.26254082037442,COMPLETED
2025-09-07,I5922,PIL0010,Captain,2.946322676978231,COMPLETED
2025-09-07,I5922,CAB0068,Trainee,3.2220709382027373,COMPLETED
2025-09-07,I5922,CAB0099,Senior Crew,3.3861957804650746,COMPLETED
2025-09-07,6E5896,PIL0011,Captain,3.6032584097313065,COMPLETED
2025-09-07,6E5896,PIL0001,Captain,2.8537863987155307,COMPLETED
2025-09-07,6E5896,CAB0052,Crew Member,3.2655128989911097,COMPLETED
2025-09-07,6E5896,CAB0048,Senior Crew,2.6589081676693533,COMPLETED
2025-09-07,6E5896,CAB0080,Senior Crew,3.110225149477641,COMPLETED
2025-09-07,6E5896,CAB0095,Crew Member,2.6353540822776855,COMPLETED
2025-09-07,6E5896,CAB0064,Senior Crew,3.2513750860290456,COMPLETED
2025-09-07,6E8746,PIL0027,Captain,4.849750018530909,COMPLETED
2025-09-07,6E8746,PIL0019,First Officer,3.5327350951632344,COMPLETED
2025-09-07,6E8746,CAB0074,Crew Member,4.249283712695776,COMPLETED
2025-09-07,6E8746,CAB0071,Trainee,3.790587559806355,COMPLETED
2025-09-07,6E8746,CAB0090,Trainee,4.2869701349176665,COMPLETED
2025-09-07,6E8746,CAB0078,Trainee,3.6119359270215305,COMPLETED
2025-09-07,6E8746,CAB0068,Trainee,3.8559733737948525,COMPLETED
2025-09-07,I54905,PIL0016,First Officer,3.805649688691534,COMPLETED
2025-09-07,I54905,PIL0011,Captain,4.284994446792112,COMPLETED
2025-09-07,I54905,CAB0097,Crew Member,4.027399622122676,COMPLETED
2025-09-07,I54905,CAB0095,Crew Member,4.219353622369159,COMPLETED
2025-09-07,6E5209,PIL0008,First Officer,4.968657407022732,COMPLETED
2025-09-07,6E5209,PIL0010,Captain,4.4512132074436055,COMPLETED
2025-09-07,6E5209,CAB0072,Trainee,4.2539619035967835,COMPLETED
2025-09-07,6E5209,CAB0099,Senior Crew,4.304906776841438,COMPLETED
2025-09-07,6E5209,CAB0045,Trainee,3.5180065556004543,COMPLETED
2025-09-07,6E5209,CAB0083,Senior Crew,4.4628103570740265,COMPLETED
2025-09-07,6E5209,CAB0071,Trainee,4.226670992070323,COMPLETED
2025-09-07,6E5209,CAB0092,Senior Crew,3.804751095386133,COMPLETED
2025-09-07,I56502,PIL0016,First Officer,2.6723994955893504,COMPLETED
2025-09-07,I56502,PIL0010,Captain,2.6407859272350342,COMPLETED
2025-09-07,I56502,CAB0071,Trainee,2.947468141322458,COMPLETED
2025-09-07,I56502,CAB0054,Crew Member,2.9742884204312605,COMPLETED
2025-09-07,I51318,PIL0010,Captain,2.9450914616561352,COMPLETED
2025-09-07,I51318,PIL0002,Captain,3.5776438447281027,COMPLETED
2025-09-07,I51318,CAB0082,Crew Member,3.032492699437147,COMPLETED
2025-09-07,I51318,CAB0097,Crew Member,2.948853071674708,COMPLETED
2025-09-07,I57677,PIL0005,Captain,2.7502903025481293,COMPLETED
2025-09-07,I57677,PIL0039,First Officer,3.1457940076933113,COMPLETED
2025-09-07,I57677,CAB0081,Crew Member,2.7884054378187457,COMPLETED
2025-09-07,I57677,CAB0079,Crew Member,3.461135485407593,COMPLETED
2025-09-07,6E6745,PIL0006,Captain,2.9887346763466747,COMPLETED
2025-09-07,6E6745,PIL0030,Captain,3.6887820879443787,COMPLETED
2025-09-07,6E6745,CAB0070,Senior Crew,3.3469688542070606,COMPLETED
2025-09-07,6E6745,CAB0049,Crew Member,3.393090205195415,COMPLETED
2025-09-07,6E6745,CAB0096,Senior Crew,2.5624575936190714,COMPLETED
2025-09-07,6E6745,CAB0064,Senior Crew,3.3834647629860606,COMPLETED
2025-09-07,6E6745,CAB0050,Crew Member,2.948319055369422,COMPLETED
2025-09-07,6E6745,CAB0062,Trainee,3.0104324890042324,COMPLETED
2025-09-07,6E4224,PIL0013,First Officer,4.487810773505082,COMPLETED
2025-09-07,6E4224,PIL0027,Captain,4.6491738991933795,COMPLETED
2025-09-07,6E4224,CAB0050,Crew Member,3.949349742039642,COMPLETED
2025-09-07,6E4224,CAB0089,Crew Member,4.085864788453519,COMPLETED
2025-09-07,6E4224,CAB0091,Senior Crew,4.1247838627894025,COMPLETED
2025-09-07,6E4224,CAB0065,Senior Crew,3.571775806226513,COMPLETED
2025-09-07,6E2164,PIL0003,Captain,4.611356084228107,COMPLETED
